k,lambda_param,objective,runtime,num_points,timestamp,alpha,beta
4,0.0,71103.2104721986,,10000,2025-04-27T12:51:41.801915,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,0.0,115506.89080454085,,10000,2025-04-27T12:51:48.585740,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,0.0,101497.18764926837,,10000,2025-04-27T12:51:54.363696,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,0.0,1772439.711082714,,10000,2025-04-27T12:52:00.877196,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,0.0,72684.49460696714,,10000,2025-04-27T12:52:08.516733,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,0.0,106307.93030289309,,10000,2025-04-27T12:52:16.900510,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,0.0,145722.9832374487,,10000,2025-04-27T12:52:26.896199,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,0.0,83840.52316909119,,10000,2025-04-27T12:52:37.253888,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,0.0,135304.49117449066,,10000,2025-04-27T12:52:48.514213,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,0.0,1740590.7104656307,,10000,2025-04-27T12:53:02.318987,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,0.0,70183.96350448203,,10000,2025-04-27T12:53:15.600770,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,0.0,231105.61608977025,,10000,2025-04-27T12:53:31.893152,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
