k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
4,1.05,0.5,1.4840251346462312,"{0: 1.441151309460251, 1: 1.4840251346462312}",171.44822578545217,9.08117371800472,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.10625,0.5,1.4839529822785937,"{0: 1.4413710327062537, 1: 1.4839529822785937}",171.4502326214426,8.614390325004933,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.1625,0.5,1.4838103404748884,"{0: 1.4413774409512625, 1: 1.4838103404748884}",171.44438864209266,8.930300670006545,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.21875,0.5,1.4841630234249081,"{0: 1.4409949363544885, 1: 1.4841630234249081}",171.45128692934767,9.014015208987985,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.275,0.5,1.82319254940938,"{0: 1.3240058079060362, 1: 1.82319254940938}",182.12219936255903,8.66566959800548,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.33125,0.5,1.4840555738829078,"{0: 1.4409872795186653, 1: 1.4840555738829078}",171.4462623989204,8.820466270000907,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.3875,0.5,1.4847002430521523,"{0: 1.4401585195264426, 1: 1.4847002430521523}",171.45585555893138,8.583421594987158,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.44375,0.5,1.4839068089869312,"{0: 1.4415519137035966, 1: 1.4839068089869312}",171.45172643514775,8.578424365987303,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.5,0.5,1.483974261420265,"{0: 1.4412368038630219, 1: 1.483974261420265}",171.44813523238307,8.799234723002883,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.05,0.5,1.2838996575014165,"{0: 1.251642364294604, 1: 1.2838996575014165}",159.56959320832215,10.848441654001364,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.10625,0.5,1.3788184196354163,"{0: 1.3788184196354163, 1: 1.3261391945441796}",163.91158987040856,10.533889455982717,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.1625,0.5,1.2843782658649796,"{0: 1.2512109399957771, 1: 1.2843782658649796}",159.5807642825256,10.391406587994425,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.21875,0.5,1.2829282509753162,"{0: 1.2531521807191919, 1: 1.2829282509753162}",159.55966127146488,10.34286545298528,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.275,0.5,1.2838157632512857,"{0: 1.251783486205682, 1: 1.2838157632512857}",159.5683267427431,10.432711581990588,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.33125,0.5,1.2844073538644414,"{0: 1.251190864252149, 1: 1.2844073538644414}",159.5821629852887,10.762603846000276,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
