k,method,lambda_param,max_welfare_cost,group_costs,runtime,alpha,beta
4,standard,0.5,1.824030067674646,"{0: 1.3279671028745663, 1: 1.824030067674646}",0.025513839721679688,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,standard,0.5,1.2866146315518978,"{0: 1.1298270020368815, 1: 1.2866146315518978}",0.02702183723449707,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,standard,0.5,1.2160520444155503,"{0: 0.9991118384086939, 1: 1.2160520444155503}",0.029573512077331544,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,standard,0.5,1.0833710349708463,"{0: 0.9356405166353301, 1: 1.0833710349708463}",0.03255994319915771,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,standard,0.5,0.973749491875513,"{0: 0.859621140813715, 1: 0.973749491875513}",0.0464993953704834,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,standard,0.5,0.9084065321326772,"{0: 0.7904516080484534, 1: 0.9084065321326772}",0.03777632713317871,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,standard,0.5,0.8700416965244611,"{0: 0.7696851791393153, 1: 0.8700416965244611}",0.041367173194885254,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,standard,0.5,0.8298813971498292,"{0: 0.7272420271811489, 1: 0.8298813971498292}",0.05419888496398926,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,standard,0.5,0.7877861634387696,"{0: 0.6956673319723585, 1: 0.7877861634387696}",0.04672544002532959,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,standard,0.5,0.7597941777406333,"{0: 0.6746308063421059, 1: 0.7597941777406333}",0.052312159538269044,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,standard,0.5,0.7286063589598848,"{0: 0.655946609374522, 1: 0.7286063589598848}",0.07134506702423096,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,standard,0.5,0.7000281840345579,"{0: 0.6259824479366481, 1: 0.7000281840345579}",0.05523648262023926,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
