k,lambda_param,max_welfare_cost,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
4,0.5,1.855813768205982,,1.855813768205982,1.8406554035739342,3.644085096411964,3.6453589171478686,824.25,1675.75
5,0.5,1.6983189069993243,,1.6983189069993243,1.6894192271582287,3.323894413998649,3.3253526543164575,659.4,1340.6
6,0.5,1.186600394703472,,1.186600394703472,1.1749182432264451,2.339991649406944,2.3402183664528904,549.5,1117.1666666666667
7,0.5,1.068272562744418,,1.068272562744418,1.0591416636486313,2.1004103554888363,2.1007657272972624,471.0,957.5714285714286
8,0.5,1.0069643358455334,,1.0069643358455334,0.9970919171445393,1.9808299616910667,1.9808969242890786,412.125,837.875
9,0.5,0.9324546620865236,,0.9324546620865236,0.923989427480297,1.8200280641730473,1.820215534960594,366.3333333333333,744.7777777777778
10,0.5,0.8871275344373377,,0.8871275344373377,0.878560793895067,1.7326889788746755,1.732952907790134,329.7,670.3
11,0.5,0.8223800634597451,,0.8223800634597451,0.8138496736976644,1.5953535269194903,1.5958512173953288,299.72727272727275,609.3636363636364
12,0.5,0.8103484634390836,,0.8103484634390836,0.8004604250848046,1.5517370668781674,1.5519066801696093,274.75,558.5833333333334
13,0.5,0.7690882482716327,,0.7690882482716327,0.7613542702491072,1.5053528365432653,1.5054838104982144,253.6153846153846,515.6153846153846
14,0.5,0.7476569903014728,,0.7476569903014728,0.7366480707931158,1.4340094806029458,1.4341188415862316,235.5,478.7857142857143
15,0.5,0.7093882792397341,,0.7093882792397341,0.7033736025528082,1.3844887684794682,1.3846335651056165,219.8,446.8666666666667
