k,lambda_param,max_welfare_cost,group_costs,alpha,beta,runtime
4,0.5,1.855813768205982,"{0: 1.855813768205982, 1: 1.8406554035739342}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
5,0.5,1.6983189069993243,"{0: 1.6983189069993243, 1: 1.6894192271582287}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
6,0.5,1.186600394703472,"{0: 1.186600394703472, 1: 1.1749182432264451}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
7,0.5,1.068272562744418,"{0: 1.068272562744418, 1: 1.0591416636486313}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
8,0.5,1.0069643358455334,"{0: 1.0069643358455334, 1: 0.9970919171445393}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
9,0.5,0.9324546620865236,"{0: 0.9324546620865236, 1: 0.923989427480297}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
10,0.5,0.8871275344373377,"{0: 0.8871275344373377, 1: 0.878560793895067}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
11,0.5,0.8223800634597451,"{0: 0.8223800634597451, 1: 0.8138496736976644}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
12,0.5,0.8103484634390836,"{0: 0.8103484634390836, 1: 0.8004604250848046}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
13,0.5,0.7690882482716327,"{0: 0.7690882482716327, 1: 0.7613542702491072}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
14,0.5,0.7476569903014728,"{0: 0.7476569903014728, 1: 0.7366480707931158}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
15,0.5,0.7093882792397341,"{0: 0.7093882792397341, 1: 0.7033736025528082}","{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}",
